Priority,ItemCode,ProductPageType,PrimaryModelFamily,PrimarySearchAngle,AllowedCompatibilityClaims,BlockedClaims,RelationshipCount,ExactOEMorEquipment,Phase5Status
1,SP211P304-TWD,Assembly page,SP211P / SP211HP3,Bandit 900-6915-74,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",7,1,HOLD — replacement/current order number verification
2,SP111P340-TWD,Assembly page,SP111P / SP111HP3,SP111P / SP111HP3 + PTO + family application terms,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",6,0,HOLD — replacement/current order number verification
3,CX110P315-TWD,Assembly page,CX110P / C110HP3,CX110P / C110HP3 + PTO + family application terms,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",6,0,READY TO DRAFT
4,CX110P418-TWD,Assembly page,CX110P,CX110P + PTO + family application terms,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",6,0,READY TO DRAFT
5,CX108P405-TWD,Assembly page,CX108P / C108HP4,CX108P / C108HP4 + PTO + family application terms,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",5,0,READY TO DRAFT
6,SP314C006-TWD,Replacement/service-part page,SP314,SP314 + Clutch + family application terms,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",7,0,READY TO DRAFT
7,SP314S120-TWD,Assembly page,SP314S / SP314SB1,SP314S / SP314SB1 + PTO + family application terms,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",7,0,READY TO DRAFT
8,SP211C006-TWD,Replacement/service-part page,SP211,Gear Products 600-30063-1; Morbark 24541-258; Terex 04U421V3609; Bandit 900-6943-78,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",6,4,READY TO DRAFT
9,SP111C006-TWD,Replacement/service-part page,SP111,Bandit 900-6944-34,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",3,1,READY TO DRAFT
10,A6518A-TWD,Replacement/service-part page,SP314SB1 relationship,Bandit Beast 3680 — Twin Disc SP314SB1 PTO,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",3,1,READY TO DRAFT
11,CX107P405-TWD,Assembly page,CX107P,CX107P + PTO + family application terms,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",5,0,READY TO DRAFT
12,CX110C005-TWD,Replacement/service-part page,CX110 clutch family,Vermeer 603643003,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",3,1,READY TO DRAFT
13,SP314C002-TWD,Replacement/service-part page,SP314P,SP314P + Clutch + family application terms,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",11,0,READY TO DRAFT
14,IT1071028B-TWD,Technical component page,AM220 pump drive input assembly,AM220 pump drive input assembly + Pump Drive + family application terms,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",5,0,READY TO DRAFT
15,SP318C003-TWD,Replacement/service-part page,SP318,Terex 70012123; Vermeer 154820001; Bandit 900-6914-08; Trelan 00CLU-398,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",11,4,READY TO DRAFT
16,6926E-TWD,Replacement/service-part page,SP318 / SP318SBO drive ring,Bandit Beast 3680 Track — Twin Disc SP318SBO PTO,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",4,1,READY TO DRAFT
17,O5499E-TWD,Replacement/service-part page,IBF314 / IB314P,IBF314 / IB314P + Friction Component + family application terms,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",5,0,READY TO DRAFT
18,5659P-TWD,Replacement/service-part page,IBF314 / IB314P,IBF314 / IB314P + Friction Component + family application terms,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",6,0,READY TO DRAFT
19,A5579D-TWD,Replacement/service-part page,SP111 (exact authorized-dealer evidence); SP211 compatibility secondary,SP111 (exact authorized-dealer evidence); SP211 compatibility secondary + Friction Component + family application terms,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",5,0,READY TO DRAFT
20,CX108P305-TWD,Product page,CX108P / C108HP3,CX108P / C108HP3 + Other Component + family application terms,Exact part identity + verified family; exact OEM/equipment only where listed in Phase 4 Master; family applications must be labeled as family-level.,"Do not claim unverified equipment fit, engine compatibility, universal interchangeability, or SAP-only relationships.",5,0,READY TO DRAFT
