SourceSKU,RelationshipType,TargetType,Target,Scope,EvidenceLevel,PublishRule,SourceURL,Notes
SP211P304-TWD,MEMBER_OF,PRODUCT_FAMILY,SP211HP3,Exact,Official/Authorized,Yes,https://www.pjpower.com/products/twindisc/ptos/sp211p,Active family mapping; assembly SP211P304.
SP211P304-TWD,OEM_CROSS_REFERENCE,OEM_PART_NUMBER,Bandit 900-6915-74,Exact,Authorized distributor,Yes,https://www.pjpower.com/products/twindisc/ptos/sp211p,
SP211P304-TWD,SERVICE_REPLACED_BY,PART_NUMBER,PX1039839C,Exact,Official Twin Disc drawing,Hold,https://twindisc.com/downloads/SP211P304-2.pdf,Drawing says obsolete for production and replaced for service; confirm current ordering path before publishing.
SP211P304-TWD,APPLICATION_CLUSTER,APPLICATION,Pumps,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp211p,
SP211P304-TWD,APPLICATION_CLUSTER,APPLICATION,Oil & gas / industrial power,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp211p,
SP211P304-TWD,APPLICATION_CLUSTER,APPLICATION,Forestry / wood processing,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp211p,
SP211P304-TWD,APPLICATION_CLUSTER,APPLICATION,Conveyors / compressors / blowers / fans,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp211p,
SP111P340-TWD,MEMBER_OF,PRODUCT_FAMILY,SP111HP3,Exact,Official/Authorized,Yes,https://www.pjpower.com/products/twindisc/ptos/sp111p,
SP111P340-TWD,SERVICE_REPLACED_BY,PART_NUMBER,PX1039800D,Exact,Official Twin Disc drawing,Hold,https://twindisc.com/downloads/Sp111p340-2.pdf,Drawing says obsolete for production and replaced for service; confirm current ordering path before publishing.
SP111P340-TWD,APPLICATION_CLUSTER,APPLICATION,Wood chippers / forestry,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp111p,
SP111P340-TWD,APPLICATION_CLUSTER,APPLICATION,Irrigation / manure pumps,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp111p,
SP111P340-TWD,APPLICATION_CLUSTER,APPLICATION,Flood control,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp111p,
SP111P340-TWD,APPLICATION_CLUSTER,APPLICATION,Agriculture / snow equipment,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp111p,
CX110P315-TWD,MEMBER_OF,PRODUCT_FAMILY,CX110P / C110HP3,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,Part list identifies CX110P315 as C110HP3 MD1 BB 306 SB.
CX110P315-TWD,APPLICATION_CLUSTER,APPLICATION,Pumps,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twin-disc/ptos/cx110p,
CX110P315-TWD,APPLICATION_CLUSTER,APPLICATION,Oil & gas / industrial power,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twin-disc/ptos/cx110p,
CX110P315-TWD,APPLICATION_CLUSTER,APPLICATION,Forestry / wood processing,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twin-disc/ptos/cx110p,
CX110P315-TWD,APPLICATION_CLUSTER,APPLICATION,Conveyors / compressors / blowers / fans,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twin-disc/ptos/cx110p,
CX110P315-TWD,APPLICATION_CLUSTER,APPLICATION,Sewer / vacuum trucks,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twin-disc/ptos/cx110p,
