ItemCode,NormalizedProductFamily,TwinDiscFamily,VariantOrPartType,ExactVariantStatus,KeySpecs,Applications,OEMCrossRefs,SpecificEquipmentEvidence,TargetProspectTypes,ResearchConfidence,Notes
SP211P304-TWD,Mechanical PTO,SP211P / SP211HP3,Complete PTO assembly,Exact configuration confirmed,"2-plate 11.5 in; solid molded; 2.5 in ball-bearing collar; SAE #3; output shaft 2.5 x 6.5 in; 72 mm pilot bearing; family torque 1235 Nm organic / 1493 Nm sintered","Mud pumps; manure pumps; injection pumps; irrigation pumps; oil & gas; flood control; wood chippers; tub grinders; conveyors; compressors; blowers; fans; grain dryers","Bandit 900-6915-74 / 900691574","Conveyair grain vacuum listing shows SP211HP3 BOM SP211P304; Bandit replacement market identifies SP211P304 for wood chippers, stump grinders and horizontal grinders","Bandit/forestry dealers; chipper & grinder owners; grain-vacuum dealers/operators; irrigation/pump service; industrial PTO rebuilders",High,"Twin Disc engineering drawing contains an obsolete-for-production/service-replacement note (PX1039839C) while Palmer Johnson currently lists SP211P304 as active. Confirm sellable status before publishing."
SP111P340-TWD,Mechanical PTO,SP111P / SP111HP3,Complete PTO assembly,Exact configuration confirmed,"1-plate 11.5 in; solid molded; 2.0 in ball-bearing collar; SAE #3; output shaft 2.25 x 6.5 in; 72 mm pilot bearing; family torque 617 Nm organic / 746 Nm sintered","Wood chippers; irrigation pumps; manure pumps; flood control; snow blowers; agriculture",None verified for exact 340,No exact equipment model confirmed yet,"Wood-chipper dealers/operators; irrigation equipment; agricultural equipment; snow/flood-control equipment; PTO rebuilders",High,"Twin Disc drawing contains an obsolete-for-production/service-replacement note (PX1039800D) while Palmer Johnson lists SP111P340 as active. Confirm sellable status before publishing."
CX110P315-TWD,Mechanical PTO,CX110P / C110HP3,Complete PTO assembly,Family + assembly code confirmed,"Palmer Johnson part list: C110HP3 MD1 BB 306 SB; family max input torque 448 Nm organic / 556 Nm sintered; CX110 family supports inline and side-load applications","Mud pumps; manure pumps; injection pumps; irrigation pumps; oil & gas; flood control; wood chippers; tub grinders; conveyors; compressors; blowers; fans; sewer trucks; grain dryers",None verified for exact 315,No exact equipment model confirmed yet,"Pump packagers; oilfield service; sewer/vacuum truck service; chipper/grinder service; conveyor/blower/compressor OEMs and repairers",High,"Exact family and assembly number are verified. Exact OEM cross-reference for P315 not found in current public sources."
CX110P418-TWD,Mechanical PTO,CX110P,Complete PTO assembly,Family and active assembly confirmed,"CX110 family max input torque 448 Nm organic / 556 Nm sintered; inline and side-load use","Mud pumps; manure pumps; injection pumps; irrigation pumps; oil & gas; flood control; wood chippers; tub grinders; conveyors; compressors; blowers; fans; sewer trucks; grain dryers",None verified for exact 418,No exact equipment model confirmed yet,"Pump packagers; oilfield service; sewer/vacuum truck service; chipper/grinder service; conveyor/blower/compressor OEMs and repairers",Medium,"CX110P418 is listed as an active assembly, but exact public configuration details were not found. Do not infer housing/shaft details until a drawing/BOM is obtained."
CX108P405-TWD,Mechanical PTO,CX108P / C108HP4,Complete PTO assembly,Exact assembly description confirmed,"Palmer Johnson part list: C108HP4 MD3 BB 305 SB; family max input torque 312 Nm organic / 387 Nm sintered; inline and side-load use","Mud pumps; manure pumps; injection pumps; irrigation pumps; oil & gas; flood control; wood chippers; tub grinders; conveyors; compressors; blowers; fans; grain dryers",None verified for exact 405,No exact equipment model confirmed yet,"Irrigation/pump service; oilfield pump packagers; chipper/grinder service; conveyor/compressor/blower service",High,"Exact assembly description confirmed in Palmer Johnson Twin Disc parts list."
SP314C006-TWD,Clutch assembly / PTO component,SP314,Clutch assembly,Exact part description confirmed,"Palmer Johnson part list: SP314 3.25TA M SIN BB S697; third-party NSN record identifies it as a friction clutch assembly","Host SP314 applications; treat as service/replacement component rather than a standalone application","No OEM cross-reference verified in current public sources","One government/NSN listing associates SP314C006 with ship propulsion, but this is one end-use record and should not be generalized","SP314 PTO rebuilders; heavy-equipment service shops; marine/industrial clutch service; existing SP314 owners",Medium-High,"Best marketed by exact part number + SP314 family rather than broad equipment compatibility until more BOM/OEM mappings are found."
SP314S120-TWD,Mechanical PTO,SP314S / SP314SB1,Complete straddle-bearing PTO,Exact assembly description confirmed,"Palmer Johnson part list: SP314SB1 SIN BB No Brg with auxiliary shaft; family max input torque 2430 lb-ft; clutch HP ratings 564/376/282 by duty class","Sand dredges; irrigation pumps; crane & hoisting; metal shredders; recycling equipment; jaw crushers; compressors",None verified for exact 120,"Bandit Beast 3680 documentation confirms SP314SB1 family usage, not specifically S120","Dredging; aggregate/crusher service; recycling/shredder operators; irrigation; crane/hoist service; compressor packagers; Bandit grinder service",High,"Family application evidence is strong; exact S120 equipment fit remains to be verified."
SP211C006-TWD,Clutch assembly / PTO component,SP211,Clutch pack/assembly,Exact part + OEM cross-references confirmed,"Palmer Johnson part list: SP211 2.30TA D MD1 BB S745","Replacement/service component for SP211 PTO applications","Gear Products 600-30063-1 / 600300631; Morbark 24541-258 / 24541258; Terex 04U421V3609; Bandit 900-6943-78 / 900694378","Exact OEM cross-reference evidence ties this clutch to Morbark, Terex and Bandit parts ecosystems","Morbark dealers/owners; Bandit dealers/owners; Terex service; PTO rebuilders; forestry/wood-processing repair shops",High,"Excellent SEO/outbound candidate because several exact OEM cross-reference numbers are published."
SP111C006-TWD,Clutch assembly / PTO component,SP111,Clutch pack/assembly,Exact part + OEM cross-reference confirmed,"Palmer Johnson part list: SP111 2.00TA C MD1 BB S670","Replacement/service component for SP111 applications: wood chippers; irrigation pumps; manure pumps; flood control; snow blowers; agriculture","Bandit 900-6944-34","Bandit OEM cross-reference is published","Bandit dealers/owners; wood-chipper service; irrigation/agricultural equipment repair; PTO rebuilders",High,"Strong part-number/OEM-cross-reference product-page opportunity."
A6518A-TWD,Drive ring,SP314SB1 and possibly other Twin Disc assemblies,Drive ring,Exact part type and one host assembly confirmed,"Twin Disc/Palmer Johnson part list identifies A6518A as Drive Ring","Replacement component; application follows the host PTO/clutch assembly","No broad OEM cross-reference verified","Bandit Beast 3680 manual shows A6518A as the driving ring in its Twin Disc SP314SB1 PTO","Bandit Beast 3680 owners/service; SP314SB1 rebuilders; Twin Disc clutch/PTO repair shops",High,"Very strong long-tail SEO candidate using exact part number + SP314SB1 + Bandit Beast 3680, while avoiding claims that it fits every SP314 variant."
