Priority,SKU,TwinDiscPartNumber,ProductTitle,PageType,ProductFamily,TwinDiscModelFamily,PricingMode,PublicationStatus,PrimarySource
1,SP211P304-TWD,SP211P304,Twin Disc SP211P304 Power Take-Off,Assembly page,PTO,SP211P / SP211HP3,RFQ until reseller terms confirmed,HOLD,https://www.pjpower.com/products/twindisc/ptos/sp211p
2,SP111P340-TWD,SP111P340,Twin Disc SP111P340 Power Take-Off,Assembly page,PTO,SP111P / SP111HP3,RFQ until reseller terms confirmed,HOLD,https://www.pjpower.com/products/twindisc/ptos/sp111p
3,CX110P315-TWD,CX110P315,Twin Disc CX110P315 Power Take-Off,Assembly page,PTO,CX110P / C110HP3,RFQ until reseller terms confirmed,DRAFT,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf
4,CX110P418-TWD,CX110P418,Twin Disc CX110P418 Power Take-Off,Assembly page,PTO,CX110P,RFQ until reseller terms confirmed,DRAFT,https://www.pjpower.com/products/twin-disc/ptos/cx110p
5,CX108P405-TWD,CX108P405,Twin Disc CX108P405 Power Take-Off,Assembly page,PTO,CX108P / C108HP4,RFQ until reseller terms confirmed,DRAFT,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf
6,SP314C006-TWD,SP314C006,Twin Disc SP314C006 Clutch Assembly,Replacement/service-part page,Clutch,SP314,RFQ until reseller terms confirmed,DRAFT,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf
7,SP314S120-TWD,SP314S120,Twin Disc SP314S120 Power Take-Off,Assembly page,PTO,SP314S / SP314SB1,RFQ until reseller terms confirmed,DRAFT,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf
8,SP211C006-TWD,SP211C006,Twin Disc SP211C006 Clutch Assembly,Replacement/service-part page,Clutch,SP211,RFQ until reseller terms confirmed,DRAFT,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf
9,SP111C006-TWD,SP111C006,Twin Disc SP111C006 Clutch Assembly,Replacement/service-part page,Clutch,SP111,RFQ until reseller terms confirmed,DRAFT,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf
10,A6518A-TWD,A6518A,Twin Disc A6518A Drive Ring,Replacement/service-part page,Ring Gear / Drive Ring,SP314SB1 relationship,RFQ until reseller terms confirmed,DRAFT,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf
11,CX107P405-TWD,CX107P405,Twin Disc CX107P405 Power Take-Off,Assembly page,PTO,CX107P,RFQ until reseller terms confirmed,DRAFT,https://www.pjpower.com/products/twindisc/ptos/cx107p
12,CX110C005-TWD,CX110C005,Twin Disc CX110C005 Clutch Assembly,Replacement/service-part page,Clutch,CX110 clutch family,RFQ until reseller terms confirmed,DRAFT,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf
13,SP314C002-TWD,SP314C002,Twin Disc SP314C002 Clutch Assembly,Replacement/service-part page,Clutch,SP314P,RFQ until reseller terms confirmed,DRAFT,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf
14,IT1071028B-TWD,IT1071028B,Twin Disc IT1071028B Pump Drive Component,Technical component page,Pump Drive,AM220 pump drive input assembly,RFQ until reseller terms confirmed,DRAFT,https://twindisc.com/downloads/1029015K.pdf
15,SP318C003-TWD,SP318C003,Twin Disc SP318C003 Clutch Assembly,Replacement/service-part page,Clutch,SP318,RFQ until reseller terms confirmed,DRAFT,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf
16,6926E-TWD,6926E,Twin Disc 6926E Drive Ring,Replacement/service-part page,Ring Gear / Drive Ring,SP318 / SP318SBO drive ring,RFQ until reseller terms confirmed,DRAFT,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf
17,O5499E-TWD,O5499E,Twin Disc O5499E Friction Component,Replacement/service-part page,Friction Component,IBF314 / IB314P,RFQ until reseller terms confirmed,DRAFT,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf
18,5659P-TWD,5659P,Twin Disc 5659P Friction Component,Replacement/service-part page,Friction Component,IBF314 / IB314P,RFQ until reseller terms confirmed,DRAFT,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf
19,A5579D-TWD,A5579D,Twin Disc A5579D Friction Component,Replacement/service-part page,Friction Component,SP111 (exact authorized-dealer evidence); SP211 compatibility secondary,RFQ until reseller terms confirmed,DRAFT,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf
20,CX108P305-TWD,CX108P305,Twin Disc CX108P305,Product page,Other Component,CX108P / C108HP3,RFQ until reseller terms confirmed,DRAFT,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf
