ItemCode,NormalizedProductFamily,TwinDiscFamily,VariantOrPartType,ExactVariantStatus,KeySpecs,Applications,OEMCrossRefs,SpecificEquipmentEvidence,TargetProspectTypes,ResearchConfidence,PrimarySource,SecondarySource,Notes
CX107P405-TWD,Mechanical PTO,CX107P,Complete PTO assembly,Exact active assembly confirmed,"CX107 family; inline and side-load capable; max input torque 237 Nm (175 lb-ft) per CX bulletin","Mud pumps; manure pumps; injection pumps; irrigation pumps; oil & gas; flood control; wood chippers; tub grinders; conveyors; compressors; blowers; fans; grain dryers","No exact P405 OEM cross-reference verified","No exact equipment-model mapping found for P405 in current public sources","Pump packagers; mobile crushing/aggregate service; forestry-equipment service; industrial powertrain repair",High,https://www.pjpower.com/products/twindisc/ptos/cx107p,https://static.pjpower.com/website-mapped/downloads/Twin-Disc-CX110P-CX110-Bulletin.pdf,"Use family applications as family-level evidence only."
CX110C005-TWD,Clutch assembly / PTO component,CX110,Clutch assembly,Exact part family and OEM cross-reference confirmed,"Palmer Johnson lists CX110C005 as an OEM-referenced CX110 clutch component","CX110 family applications include pumps; oil & gas; flood control; forestry; conveyors; compressors; blowers; fans; sewer trucks; grain dryers","Vermeer 603643003","Exact Vermeer cross-reference published by authorized Twin Disc distributor","Vermeer dealers/service; CX110 PTO rebuilders; forestry and industrial service shops",High,https://www.pjpower.com/products/twin-disc/ptos/cx110p,,"SAP description says CX110C005 replaces CX110C002; verify that replacement claim before publishing."
SP314C002-TWD,Clutch assembly / PTO component,SP314P,Clutch pack,Exact part description confirmed,"SP314 3.25TA M MD1 BB S697","Sand dredges; irrigation pumps; crane and hoisting; metal shredders; recycling equipment; jaw crushers; compressors","Bandit 900-1914-95; Bandit 900-6917-10; Morbark 24542-628; Vermeer 156154001","Secondary specialist source maps these OEM numbers to SP314C002","Bandit/Morbark/Vermeer service; aggregate and recycling equipment; PTO rebuilders",High,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,https://www.earthsaverparts.com/twin-disc-sp314-clutch-pack/,"OEM cross-references are strong secondary evidence; re-verify before public compatibility claims."
IT1071028B-TWD,Pump-drive input assembly,AM220,SAE flywheel input assembly,Exact component role confirmed,"Official Twin Disc drawings identify IT1071028B as SAE 3 / 11.5-inch input assembly used on AM220 pump-drive BOMs; AM220 max input power 355 kW (476 hp) at 1:1 and 3200 rpm","Hydraulic pump-drive applications; industrial engines; drilling and mobile hydraulic equipment","No OEM cross-reference identified","Official Twin Disc AM220 drawings repeatedly call out IT1071028B as the input assembly","Drilling-equipment builders; hydraulic pump-drive OEMs; mobile machinery; industrial hydraulic service",High,https://www.pjpower.com/products/twindisc/pump-drives/am220,https://twindisc.com/downloads/1029015N.pdf,"Customer evidence may indicate drilling demand, but customer identity alone is not equipment-compatibility evidence."
SP318C003-TWD,Clutch assembly / PTO component,SP318,Clutch pack,Exact part and multiple OEM cross-references confirmed,"SP318 4.30TA F MD1 BB S777","Sand dredges; irrigation pumps; crane and hoisting; metal shredders; recycling; jaw crushers; compressors; forestry equipment","Terex 70012123; Vermeer 154820001; Bandit 900-6914-08; Trelan 00CLU-398","Bandit 900-6914-08 is explicitly sold as the clutch pack for SP318S001 Twin Disc","Bandit/Vermeer/Terex service; forestry; aggregate/recycling; PTO rebuilders",High,https://www.pjpower.com/products/twindisc/ptos/sp318p,https://modernequipmentparts.com/900-6914-08-clutch-pack-sp318c003-for-sp318s001-twin-disc-clutch/,"A secondary specialist page assigns some Morbark numbers to C003 that conflict with Palmer Johnson's mapping to other SP318 clutch numbers; do not publish those Morbark mappings without verification."
6926E-TWD,Drive ring,SP318 / SP318SBO,Drive ring,Exact part type and equipment evidence confirmed,"Twin Disc 318 / PO318 drive ring","SP318 PTO service; forestry grinders; heavy-duty side-load PTO service","Bandit 900-1915-13; retailer notes replacement by Bandit 900-6955-20","Bandit Beast 2680 manual lists 6926E as the driving ring in its Twin Disc SP318SBO PTO","Bandit Beast 2680 service; forestry grinder repair; SP318 rebuilders",High,https://www.stephensonequipment.com/wp-content/uploads/2023/08/bandit-beast-grinder-2680.pdf,https://shop.moderngroup.com/900-1915-13-clutch-drive-ring-for-318-twin-disc-6926e/,"Excellent exact-part/equipment long-tail SEO candidate."
O5499E-TWD,Sintered friction component,IBF314 / IB314P,Friction disc,Exact part type and family confirmed,"Palmer Johnson parts list: Friction Disc Sin","IBF314 high-inertia applications; vertical-shaft impact crushers; tub grinders; rock crushers","No OEM cross-reference verified","Authorized Twin Disc dealer states O5499E can be used on IBF314 PTOs","Crusher/tub-grinder operators; demolition/recycling; IBF314 rebuilders",High,https://www.dieselpartsdirect.com/tdo5499e,https://www.pjpower.com/products/twindisc/ptos/ib314p,"Strong service-part candidate."
5659P-TWD,Friction component,IBF314 / IB314P,Friction disc / clutch plate,Exact part type and family confirmed,"Palmer Johnson parts list: Friction Disc MD1; authorized dealer lists it as IBF314 clutch plate","IBF314 high-inertia applications; vertical-shaft impact crushers; tub grinders; rock crushers","WPT W14-07-901 cross-references Twin Disc 5659A and 5659P","Authorized Twin Disc dealer lists 5659P on IBF314 parts page","Crusher/tub-grinder operators; aggregate service; PTO rebuilders",High,https://www.dieselpartsdirect.com/twin-disc-ibf314-power-take-offs-parts,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,"Strong service-part and cross-sell candidate."
A5579D-TWD,Friction / drive component,SP111,Drive plate / friction disc,Exact SP111 family evidence confirmed,"Palmer Johnson parts list: Friction Disc MD1; authorized dealer lists A5579D as a solid drive plate for SP111","SP111 PTO service; secondary sources also map it to SP211-family PTOs","A5579D / TD-A5579D; aftermarket WTD-11-001","Authorized dealer confirms SP111 use; secondary aftermarket sources claim SP211/SP211HP3 compatibility","SP111 PTO rebuilders; wood-chipper/forestry service; crusher/aggregate parts suppliers; industrial clutch shops",High,https://www.dieselpartsdirect.com/twin-disc-sp111-power-take-offs-parts,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,"Keep SP211 compatibility labeled secondary until verified through an authoritative source."
CX108P305-TWD,Mechanical PTO,CX108P / C108HP3,Complete PTO assembly,Exact active assembly confirmed,"Palmer Johnson parts list: C108HP3 MD3 BB 305 SB","Mud pumps; manure pumps; injection pumps; irrigation pumps; oil & gas; flood control; wood chippers; tub grinders; conveyors; compressors; blowers; fans; grain dryers","No exact P305 OEM cross-reference verified","No exact equipment-model mapping found for P305 in current public sources","Pump packagers; crushing/aggregate service; forestry-equipment service; industrial powertrain repair",High,https://www.pjpower.com/products/twindisc/ptos/cx108p,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,"Use family applications as family-level evidence only."
